Doc-IDs,Reference-Code,Paper-Type,Pub-Date
10.1002/2014JC010268,T,P,2015-01
10.1002/joc.4500,T,P,2015-09-14
10.1002/wene.95,T,P,2013-11-15
10.1007/s00382-014-2352-9,T,P,2014-10-02
10.1007/s10584-013-0831-3,T,P,2013-07-27
10.1007/s13253-011-0072-8,T,P,2011-11-16
10.1007/s40641-015-0004-8,T,P,2015-02-06
10.1016/j.ecoinf.2010.04.001,T,P,2010-09
10.1016/j.jhydrol.2012.11.041,T,P,2013-02
10.1029/2008JD011416,T,P,2009
10.1029/2010WR009716,T,P,2011-10
10.1029/2011JD016430,T,P,2012-01-05
10.1029/2011WR010674,T,P,2012-05
10.1061/(ASCE)HE.1943-5584.0001160,T,P,2015-09
10.1080/07055900.2013.868340,T,P,2014-01
10.1111/j.1757-1707.2010.01046.x,T,P,2010-09-02
10.1145/2350182.2350189,T,P,2012
10.1155/2014/594965,T,P,2014
10.1175/2011JAMC2521.1,T,P,2011-11
10.1175/Bams-d-11-00180.1,T,P,2012-09
10.1175/JCLI-D-11-00058.1,T,P,2012-01
10.1198/jasa.2010.ap09237,T,P,2011-03
10.1214/12-AOAS591,T,P,2012-12
10.12854/erde-145-5,T,P,2014
10.3390/ijerph7072866,T,P,2010-07-14
10.4236/ajcc.2015.41009,T,P,2015
http://aquaticcommons.org/8643/1/Rep40.pdf#page=20,T,G,NA
http://archives.pdx.edu/ds/psu/8487,T,G,NA
http://cdn.intechweb.org/pdfs/18711.pdf,T,G,NA
http://climatecost.cc/images/deliverable-1-1-vs-2.doc,T,G,NA
http://digitalcommons.uconn.edu/gs_theses/212,T,G,NA
http://docs.lib.purdue.edu/open_access_theses/49,T,G,NA
http://eprints.cdlib.org/uc/item/4474s96b,T,G,NA
http://glisa-dev.web.itd.umich.edu/media/files/NCA/MTIT_Future.pdf,T,G,NA
http://hdl.handle.net/10012/9371,T,G,NA
http://hdl.handle.net/10150/337291,T,G,NA
http://hdl.handle.net/10217/79439,T,G,NA
