Doc-IDs,Reference-Code,Paper-Type
10.1175/JAS-D-14-0066.1,T,P
10.1002/2013GL058842,C,P
10.1002/2013JD021389,C,P
10.1002/2013MS000269,C,P
10.1002/2014WR016371,C,P
10.1002/2015GL067278,C,P
10.1002/2015JD023562,C,P
10.1002/jgrd.50725,C,P
10.1002/qj.2628,C,P
10.1016/j.atmosenv.2014.11.066,C,P
10.1016/j.jcp.2014.02.009,C,P
10.1016/j.jhydrol.2015.10.068,C,P
10.1017/jfm.2015.474,C,P
10.1063/1.4939694,C,P
10.1103/PhysRevE.92.023029,C,P
10.1175/JCLI-D-15-0399.1,C,P
10.1175/JHM-D-15-0155.1,C,P
10.2514/6.2015-3046,C,P
10.2514/6.2016-2053,C,P
10.5065/D6Z60M3G,C,P
10.5194/acp-14-6213-2014,C,P
10.5194/acp-14-8599-2014,C,P
10.5194/acp-15-1-2015,C,P
10.5194/gmd-7-1183-2014,C,P
10.5194/gmd-7-1961-2014,C,P
10.5194/gmd-8-2419-2015,C,P
10.5194/gmd-8-3285-2015,C,P
10.5194/gmd-9-125-2016,C,P
http://arxiv.org/abs/1310.3289,C,G
http://arxiv.org/abs/1407.6954,C,G
http://arxiv.org/abs/1507.07022,C,G
http://arxiv.org/abs/1507.07026,C,G
http://escholarship.org/uc/item/34k135nq,C,G
http://hdl.handle.net/10217/167100,C,G
http://hdl.handle.net/1813/39464,C,G
http://hico.coas.oregonstate.edu/projects/docs/Powell_HICO.pdf,C,G
http://scholarlyrepository.miami.edu/oa_dissertations/1433,C,G
http://www.atmos.washington.edu/~hakim/papers/brown_hakim_qjrms_2014.pdf,C,G
https://ams.confex.com/ams/95Annual/webprogram/Manuscript/Paper261774/AMS-siliu-submit.pdf,C,G
10.1002/2013JA019683,A,P
10.1002/2013PA002550,A,P
10.1002/2014GL059515,A,P
10.1002/2014GL061222,A,P
10.1002/2014GL062468,A,P
10.1002/2014JA020006,A,P
10.1002/2014JA020048,A,P
10.1002/2014JA020401,A,P
10.1002/2014JA020555,A,P
10.1002/2014JA020579,A,P
10.1002/2014JA020706,A,P
10.1002/2014JA020919,A,P
10.1002/2014JC010569,A,P
10.1002/2014JD021722,A,P
10.1002/2014JD022592,A,P
10.1002/2014MS000305,A,P
10.1002/2014MS000343,A,P
10.1002/2014MS000360,A,P
10.1002/2014MS000399,A,P
10.1002/2014PA002640,A,P
10.1002/2014WR016202,A,P
10.1002/2015GL063181,A,P
10.1002/2015GL063623,A,P
10.1002/2015GL064183,A,P
10.1002/2015GL064796,A,P
10.1002/2015GL065957,A,P
10.1002/2015GL065992,A,P
10.1002/2015GL066318,A,P
10.1002/2015GL066713,A,P
10.1002/2015GL067137,A,P
10.1002/2015JA021029,A,P
10.1002/2015JA021572,A,P
10.1002/2015JA021750,A,P
10.1002/2015JA021986,A,P
10.1002/2015JA021997,A,P
10.1002/2015JA022056,A,P
10.1002/2015JC010728,A,P
10.1002/2015JC011089,A,P
10.1002/2015JD023451,A,P
10.1002/2015JD023465,A,P
10.1002/2015JD023467,A,P
10.1002/2015JD023634,A,P
10.1002/2015JD023819,A,P
10.1002/2015JD023966,A,P
10.1002/2015MS000427,A,P
10.1002/2015MS000519,A,P
10.1002/2015MS000529,A,P
10.1002/2015MS000531,A,P
10.1002/asl2.520,A,P
10.1002/joc.4321,A,P
10.1002/qj.2567,A,P
10.1007/978-3-319-05591-6_61,A,P
10.1007/s00382-015-2643-9,A,P
10.1007/s00382-015-2752-5,A,P
10.1007/s00382-015-2887-4,A,P
10.1007/s10236-014-0769-7,A,P
10.1007/s10546-014-9940-4,A,P
10.1007/s10546-014-9956-9,A,P
10.1007/s10584-016-1615-3,A,P
10.1016/j.asr.2015.12.039,A,P
10.1016/j.atmosenv.2014.03.044,A,P
10.1016/j.atmosenv.2014.06.058,A,P
10.1016/j.atmosenv.2014.10.021,A,P
10.1016/j.atmosenv.2015.04.070,A,P
10.1016/j.epsl.2015.12.022,A,P
10.1016/j.jcp.2014.06.055,A,P
10.1016/j.jcp.2015.11.003,A,P
10.1016/j.jhydrol.2015.10.047,A,P
10.1016/j.ocemod.2014.09.006,A,P
10.1016/j.ocemod.2015.07.020,A,P
10.1016/j.ocemod.2015.10.013,A,P
10.1017/jfm.2015.749,A,P
10.1038/nclimate2848,A,P
10.1038/ncomms10267,A,P
10.1038/srep17073,A,P
10.1051/swsc/2014016 ,A,P
10.1073/pnas.1413640111,A,P
10.1073/pnas.1417609112,A,P
10.1073/pnas.1511463112,A,P
10.1088/0004-637X/789/2/132,A,P
10.1088/0004-637X/793/1/24,A,P
10.1088/0004-637X/814/2/125,A,P
10.1088/1748-9326/10/9/094003,A,P
10.1088/1748-9326/9/12/124020,A,P
10.1088/1748-9326/9/3/034018,A,P
10.1093/mnras/stv2249,A,P
10.1111/gcb.12881,A,P
10.1175/JAMC-D-15-0020.1,A,P
10.1175/JAS-D-13-0156.1,A,P
10.1175/JAS-D-13-0157.1,A,P
10.1175/JAS-D-13-0261.1,A,P
10.1175/JAS-D-13-0320.1,A,P
10.1175/JAS-D-13-0338.1,A,P
10.1175/JAS-D-13-0352.1,A,P
10.1175/JAS-D-13-0399.1,A,P
10.1175/JAS-D-14-0037.1,A,P
10.1175/JAS-D-14-0244.1,A,P
10.1175/JAS-D-14-0253.1,A,P
10.1175/JAS-D-14-0260.1,A,P
10.1175/JAS-D-14-0268.1,A,P
10.1175/JAS-D-14-0295.1,A,P
10.1175/JAS-D-14-0352.1,A,P
10.1175/JAS-D-15-0068.1,A,P
10.1175/JAS-D-15-0079.1,A,P
10.1175/JAS-D-15-0143.1,A,P
10.1175/JAS-D-15-0151.1,A,P
10.1175/JAS-D-15-0152.1,A,P
10.1175/JAS-D-15-0339.1,A,P
10.1175/JCLI-D-13-00272.1,A,P
10.1175/JCLI-D-13-00750.1,A,P
10.1175/JCLI-D-14-00150.1,A,P
10.1175/JCLI-D-14-00413.1,A,P
10.1175/JCLI-D-14-00751.1,A,P
10.1175/JCLI-D-14-00816.1,A,P
10.1175/JCLI-D-15-0169.1,A,P
10.1175/JCLI-D-15-0232.1,A,P
10.1175/JCLI-D-15-0501.1,A,P
10.1175/JHM-D-14-0212.1,A,P
10.1175/JHM-D-14-0213.1,A,P
10.1175/JHM-D-15-0052.1,A,P
10.1175/JPO-D-14-0221.1,A,P
10.1175/JPO-D-15-0106.1,A,P
10.1175/MWR-D-13-00208.1,A,P
10.1175/MWR-D-14-00014.1,A,P
10.1175/MWR-D-14-00100.1,A,P
10.1175/MWR-D-14-00116.1,A,P
10.1175/MWR-D-14-00247.1,A,P
10.1175/MWR-D-14-00415.1,A,P
10.1175/MWR-D-15-0085.1,A,P
10.1175/MWR-D-15-0133.1,A,P
10.1175/MWR-D-15-0147.1,A,P
10.1175/MWR-D-15-0156.1,A,P
10.1175/MWR-D-15-0159.1,A,P
10.1175/MWR-D-15-0179.1,A,P
10.1175/MWR-D-15-0208.1,A,P
10.1175/MWR-D-15-0286.1,A,P
10.1175/WAF-D-13-00136.1,A,P
10.1175/WAF-D-13-00145.1,A,P
10.1175/WAF-D-15-0013.1,A,P
10.1175/WAF-D-15-0103.1,A,P
10.1175/WAF-D-15-0138.1,A,P
10.1371/journal.pone.0144416,A,P
10.2514/6.2013-2949,A,P
10.2514/6.2014-3031,A,P
10.5194/acp-13-12549-2013,A,P
10.5194/acp-14-10411-2014,A,P
10.5194/acp-14-13119-2014,A,P
10.5194/acp-14-13391-2014,A,P
10.5194/acp-14-3969-2014,A,P
10.5194/acp-14-5251-2014,A,P
10.5194/acp-14-7485-2014,A,P
10.5194/acp-14-8631-2014,A,P
10.5194/acp-14-9171-2014,A,P
10.5194/acp-15-11179-2015,A,P
10.5194/acp-15-1503-2015,A,P
10.5194/acp-15-2215-2015,A,P
10.5194/acp-15-5851-2015,A,P
10.5194/bg-12-5061-2015,A,P
10.5194/gmd-7-613-2014,A,P
10.5194/gmd-8-2095-2015,A,P
10.5194/gmd-8-3999-2015,A,P
10.5194/gmd-9-607-2016,A,P
10.5670/oceanog.2015.79,A,P
http://arxiv.org/abs/1405.6814,A,G
