Doc-IDs,Reference-Code,Paper-Type,Pub-Year
10.1002/2013JD021172,T,P,2014-03-27
10.1002/2013PA002535,T,P,2014-05
10.1002/2014GB005021,T,P,2015-06
10.1002/2015JD023266,T,P,2015-10-05
10.1002/2015JD023337,T,P,2015-10-23
10.1002/2015JD023645,T,P,2015-10-05
10.1002/2015JD024287,T,P,2016-03-25
10.1002/9781119960003.app1,T,P,2012-02-21
10.1002/grl.50750,T,P,2013-08-01
10.1002/joc.4593,T,P,2016-02-24
10.1002/qj.2091,T,P,2013-03-21
10.1007/978-3-642-23932-8_3,T,P,2012
10.1007/s00382-011-1033-1,T,P,2011-03-06
10.1007/s00382-012-1393-1,T,P,2012-06-14
10.1007/s00382-013-1750-8,T,P,2013-04-18
10.1007/s00382-013-1790-0,T,P,2013-05-05
10.1007/s00382-014-2235-0,T,P,2014-07-18
10.1007/s00382-015-2744-5,T,P,2015-07-25
10.1007/s00704-015-1448-4,T,P,2015-04-24
10.1007/s10584-014-1257-2,T,P,2014-09-26
10.1007/s10723-012-9222-7,T,P,2012-08-16
10.1007/s11069-013-0856-y,T,P,2013-11-01
10.1007/s11269-015-1124-6,T,P,2015-09-05
10.1007/s11430-013-4684-4,T,P,2013-09-25
10.1007/s12145-013-0126-2,T,P,2013-07-13
10.1016/j.advwatres.2015.06.013,T,P,2015-09
10.1016/j.apenergy.2015.12.069,T,P,2016-03
10.1016/j.apgeog.2015.07.011,T,P,2015-09
10.1016/j.atmosenv.2014.07.044,T,P,2015-08
10.1016/j.atmosenv.2014.12.052,T,P,2016-01
10.1016/j.atmosenv.2016.02.036,T,P,2016-05
10.1016/j.dsr2.2009.07.004,T,P,2009-12
10.1016/j.dynatmoce.2007.08.001,T,P,2008-03
10.1016/j.envsoft.2012.12.005,T,P,2013-03
10.1016/j.icarus.2011.10.001,T,P,2011-12
10.1016/j.mri.2009.07.010,T,P,2010-02
10.1016/j.palaeo.2003.09.034,T,P,2004-05
10.1016/j.pocean.2005.02.018,T,P,2005-02
10.1016/j.watres.2015.11.055,T,P,2016-02
10.1029/2009JD011898,T,P,2009-11-25
10.1029/2009JD013228,T,P,2010-07-21
10.1029/2010JD014909,T,P,2011-04-21
10.1029/2012JD017543,T,P,2012-07-04
10.1038/nature08706,T,P,2010-01-20
10.1038/nclimate1829,T,P,2013-02-24
10.1038/srep05148,T,P,2014-06-03
10.1038/srep05660,T,P,2014-07-11
10.1038/srep06034,T,P,2014-08-12
10.1038/srep06929,T,P,2014-11-06
10.1038/srep11673,T,P,2015-06-26
10.1061/9780784412947.120,T,P,2013-05-28
10.1071/WF06075,T,P,2007
10.1080/16742834.2011.11446904,T,P,2011-01
10.1080/17445647.2012.694273,T,P,2012-06
10.1088/0169-5983/46/3/031406,T,P,2014-05-28
10.1109/FTDCS.2007.9,T,P,2007-03
10.1109/MEC.2013.6885345,T,P,2013-12
10.1109/SERVICES.2011.54,T,P,2011-07
10.1109/TC.2013.62,T,P,2016-04-01
10.1109/WORKS.2010.5671851,T,P,2010-11
10.1111/j.1600-0870.2009.00414.x,T,P,2009-10
10.1117/12.865178,T,P,2010-10-07
10.1155/2014/960924,T,P,2014
10.1175/2007JAMC1586.1,T,P,2008-01
10.1175/2007JAS2598.1,T,P,2008-08
10.1175/2007JCLI1867.1,T,P,2008-06
10.1175/2007MWR2044.1,T,P,2008-03
10.1175/2011JCLI4152.1,T,P,2011-10
10.1175/BAMS-89-5-611,T,P,2008-05
10.1175/JAMC-D-11-04.1,T,P,2012-01
10.1175/JAMC-D-15-0156.1,T,P,2016-01
10.1175/JAS-D-13-0234.1,T,P,2014-11
10.1175/JAS-D-13-0301.1,T,P,2014-09
10.1175/JAS-D-13-041.1,T,P,2013-12
10.1175/JCLI4221.1,T,P,2007-08
10.1175/JCLI-D-11-00106.1,T,P,2012-04
10.1175/JCLI-D-11-00227.1,T,P,2012-03
10.1175/JCLI-D-14-00057.1,T,P,2014-09
10.1175/JCLI-D-14-00328.1,T,P,2015-03
10.1175/JCLI-D-14-00504.1,T,P,2015-05
10.1175/JCLI-D-14-00624.1,T,P,2015-08
10.1175/JCLI-D-15-0432.1,T,P,2016-04
10.1175/JHM-D-14-0216.1,T,P,2015-12
10.1175/JTECH-D-12-00064.1,T,P,2013-03
10.1215/21573698-1151658,T,P,2011-02-17
10.12652/Ksce.2012.32.5B.267,T,P,2012-09-15
10.1371/journal.pone.0072970,T,P,2013-09-25
10.1371/journal.pone.0149968,T,P,2016-03-01
10.14191/Atmos.2013.23.4.539,T,P,2013-12-31
10.14383/cri.2014.9.4.283,T,P,2014-12-30
10.15191/nwajom.2013.0117,T,P,2013-11-06
10.1590/S0102-77862009000400008 ,T,P,2009-12
10.1590/S0102-77862010000400006  ,T,P,2010-12
10.1590/S1806-11172012000300002 ,T,P,2012-09
10.1657/1938-4246-46.3.669,T,P,2014-08
10.17770/etr2015vol2.262,T,P,2015-06-17
10.2166/wcc.2015.126,T,P,2015-11-16
10.3103/S1068373914070024,T,P,2014-07
10.3390/rs6021057,T,P,2014-01-27
10.3741/JKWRA.2013.46.3.287,T,P,2013-03-31
10.4236/acs.2012.23025,T,P,2012
10.5194/acp-10-5759-2010,T,P,2010-06-30
10.5194/acp-11-11267-2011,T,P,2011-11-14
10.5194/gmd-5-1061-2012,T,P,2012-09-03
10.5194/gmd-5-887-2012,T,P,2012-06-28
10.5194/hess-17-1177-2013,T,P,2013-03-19
10.5897/IJPS11.1713,T,P,2012-02-16
10.9734/BJECC/2012/1495,T,P,2013-01-19
http://app.sni.gob.ec/sni-link/sni/RESPALDOS/R_PLANIF/VULNERABILIDAD_CAMBIO_CLIMATICO/cds/Informe_Final_ClimDex.doc,T,G,NA
ftp://138.63.8.109/pub/globc/exchanges/cassou/RapportStageVandevoorde.pdf,T,G,NA
ftp://podaac.jpl.nasa.gov/SalinityDensity/aquarius/docs/v4/AQ-014-PS-0017_AquariusATBD_Level2_Addendum4_DatasetVersion4.0.pdf,T,G,NA
http://129.82.108.250/publications/annual_report/cira_annual_report_fy02-03.pdf,T,G,NA
http://159.226.119.58/aosl/CN/article/downloadArticleFile.do?attachType=PDF&id=202,T,G,NA
http://186.154.243.61/media/dynamic/tiempo/precipitacion/colombia/bogota/modelo_wrf_bogota.pdf,T,G,NA
http://acinn.uibk.ac.at/sites/default/files/thesis_Matthias_Reif_pdf_V09.05.12.pdf,T,G,NA
http://alexandria.cpd.ufv.br:8000/teses/meteorologia%20agricola/2007/201460f.pdf,T,G,NA
http://aqrp.ceer.utexas.edu/projectinfoFY14_15%5C14-010%5C14-010%20Final%20Report.pdf,T,G,NA
http://archives.pdx.edu/ds/psu/12468,T,G,NA
http://artemis-new.cslab.ece.ntua.gr:8080/jspui/handle/123456789/5258,T,G,NA
http://artemis-new.cslab.ece.ntua.gr:8080/jspui/handle/123456789/5449,T,G,NA
http://artemis-new.cslab.ece.ntua.gr:8080/jspui/handle/123456789/6688,T,G,NA
http://artemis-new.cslab.ece.ntua.gr:8080/jspui/handle/123456789/7033,T,G,NA
http://bibdigital.epn.edu.ec/handle/15000/6467,T,G,NA
http://box.mmm.ucar.edu/wrf/users/workshops/WS2008/abstracts/P6-08.pdf,T,G,NA
http://citeseerx.ist.psu.edu/viewdoc/download?doi=10.1.1.115.6885&rep=rep1&type=pdf,T,G,NA
http://citeseerx.ist.psu.edu/viewdoc/download?doi=10.1.1.362.5205&rep=rep1&type=pdf,T,G,NA
http://citeseerx.ist.psu.edu/viewdoc/download?doi=10.1.1.643.5443&rep=rep1&type=pdf,T,G,NA
http://commons.erau.edu/stm/2014/thursday/15/,T,G,NA
http://core.kmi.open.ac.uk/download/pdf/17185309.pdf,T,G,NA
http://dare.uva.nl/cgi/arno/show.cgi?fid=550217,T,G,NA
http://digitalcommons.unl.edu/geoscidiss/33/,T,G,NA
http://digitalcommons.unl.edu/natresdiss/86/,T,G,NA
http://digitalcommons.wku.edu/theses/1219/,T,G,NA
http://docs.lib.purdue.edu/open_access_theses/14/,T,G,NA
http://dspace.library.uu.nl/handle/1874/12333,T,G,NA
http://etd.lsu.edu/docs/available/etd-04062008-163931/,T,G,NA
http://geography.tamu.edu/class/aklein/esc/proceedings/2010/anandhi_et_al2.pdf,T,G,NA
