Doc-IDs,Reference-Code,Paper-Type
10.1002/2014JC010268,T,P
10.1002/joc.4500,T,P
10.1002/wene.95,T,P
10.1007/s00382-014-2352-9,T,P
10.1007/s10584-013-0831-3,T,P
10.1007/s13253-011-0072-8,T,P
10.1007/s40641-015-0004-8,T,P
10.1016/j.ecoinf.2010.04.001,T,P
10.1016/j.jhydrol.2012.11.041,T,P
10.1029/2008JD011416,T,P
10.1029/2010WR009716,T,P
10.1029/2011JD016430,T,P
10.1029/2011WR010674,T,P
10.1061/(ASCE)HE.1943-5584.0001160,T,P
10.1080/07055900.2013.868340,T,P
10.1111/j.1757-1707.2010.01046.x,T,P
10.1145/2350182.2350189,T,P
10.1155/2014/594965,T,P
10.1175/2011JAMC2521.1,T,P
10.1175/Bams-d-11-00180.1,T,P
10.1175/JCLI-D-11-00058.1,T,P
10.1198/jasa.2010.ap09237,T,P
10.1214/12-AOAS591,T,P
10.1214/12-AOAS591,T,P
10.12854/erde-145-5,T,P
10.3390/ijerph7072866,T,P
10.4236/ajcc.2015.41009,T,P
http://aquaticcommons.org/8643/1/Rep40.pdf#page=20,T,G
http://archives.pdx.edu/ds/psu/8487,T,G
http://cdn.intechweb.org/pdfs/18711.pdf,T,G
http://climatecost.cc/images/deliverable-1-1-vs-2.doc,T,G
http://digitalcommons.uconn.edu/gs_theses/212,T,G
http://docs.lib.purdue.edu/open_access_theses/49,T,G
http://eprints.cdlib.org/uc/item/4474s96b,T,G
http://glisa-dev.web.itd.umich.edu/media/files/NCA/MTIT_Future.pdf,T,G
http://hdl.handle.net/10012/9371,T,G
http://hdl.handle.net/10150/337291,T,G
http://hdl.handle.net/10217/79439,T,G
http://hdl.handle.net/10234/99510 ,T,G
http://hdl.handle.net/11375/12243,T,G
http://hdl.handle.net/1853/45770,T,G
http://hdl.handle.net/1957/50611,T,G
http://hdl.handle.net/1974/12559,T,G
http://ir.uiowa.edu/etd/5026/,T,G
http://pizza.pcic.uvic.ca/sites/default/files/publications/Murdock.RCI_Plan_Apr2012_0.pdf,T,G
http://qspace.library.queensu.ca/handle/1974/12559,T,G
http://ro.uow.edu.au/infopapers/2261/,T,G
http://www.archipel.uqam.ca/4384/,T,G
http://www.archipel.uqam.ca/5090/,T,G
http://www.archipel.uqam.ca/id/eprint/4384,T,G
http://www.calmac.com/stuff/contentmgr/files/0/ea4afe82e740c257680ac9e8d454ce18/pdf/future_climate_impacts_on_building_design.pdf,T,G
http://www.esrl.noaa.gov/psd/news/2010/pdf/pika_report_final.pdf,T,G
http://www.iemss.org/iemss2010/papers/S08/S.08.08.Modelling%20Climate%20Impacts%20on%20Hydrologic%20Processes%20in%20the%20Lake%20Winnipeg%20Watershed%20-%20RAJESH%20SHRESTHA.pdf,T,G
http://www.lib.ncsu.edu/resolver/1840.16/10572,T,G
http://www.personal.psu.edu/bas59/papers/BayesGEV_2012-04-16.pdf,T,G
http://www.stat.purdue.edu/~mlevins/Articles/Levine_Cressie_etal_2011.pdf,T,G
http://www4.stat.ncsu.edu/~reich/papers/Parker.pdf,T,G
http://www4.stat.ncsu.edu/~reich/papers/SpatialQuantile.pdf,T,G
https://agile-online.org/Conference_Paper/cds/agile_2014/agile2014_148.pdf,T,G
https://etda.libraries.psu.edu/paper/12083/7544,T,G
https://www.reacchpna.org/sites/default/files/REACCHreportYr1.pdf,T,G
https://www.researchgate.net/profile/Rajesh_Shrestha4/publication/286784862_Application_of_SWAT_in_Hydrologic_and_Nutrient_Transport_Modelling_of_the_Lake_Winnipeg_Watershed/links/568d4d7508aeaa1481ae496a.pdf,T,G
http://lib.dr.iastate.edu/etd/13635,T,G
10.1002/2015JD023073,C,P
10.1002/asl.395,C,P
10.1002/hyp.9376,C,P
10.1002/wrcr.20331,C,P
10.1007/978-3-319-03768-4_5,C,P
10.1007/978-3-319-12307-3_48,C,P
10.1007/s00382-011-1282-z,C,P
10.1007/s00382-013-1717-9,C,P
10.1007/s00382-014-2098-4,C,P
10.1007/s00382-015-2927-0,C,P
10.1007/s00704-012-0596-z,C,P
10.1007/s10584-011-0167-9,C,P
10.1007/s10584-012-0552-z,C,P
10.1007/s10584-012-0639-6,C,P
10.1007/s13253-012-0105-y,C,P
10.1016/j.advwatres.2011.09.015,C,P
10.1016/j.atmosenv.2012.11.028,C,P
10.1016/j.atmosres.2011.10.021,C,P
10.1016/j.chemgeo.2013.08.048,C,P
10.1016/j.enbuild.2014.03.009,C,P
10.1016/j.jhydrol.2012.11.062,C,P
10.1016/j.jhydrol.2013.12.051,C,P
10.1016/j.jhydrol.2014.06.017,C,P
10.1029/2012GL051560,C,P
10.1029/2012JD018137,C,P
10.1029/2012WR011908,C,P
10.1061/(ASCE)HE.1943-5584.0000383,C,P
10.1061/(ASCE)HE.1943-5584.0000725,C,P
10.1061/(ASCE)HE.1943-5584.0000967,C,P
10.1061/(ASCE)HE.1943-5584.0001298,C,P
10.1071/WF13018,C,P
10.1073/pnas.1314787111,C,P
10.1080/00045608.2014.968892,C,P
10.1080/07055900.2015.1026872,C,P
10.1137/12088505X,C,P
10.1145/2791347.2791361,C,P
10.1175/BAMS-D-12-00169.1,C,P
10.1175/JAMC-D-11-04.1,C,P
10.1175/JAMC-D-12-0317.1,C,P
10.1175/JHM-D-12-068.1,C,P
10.1175/WCAS-D-14-00041.1,C,P
10.1186/s13071-014-0532-4,C,P
10.1214/13-AOAS631,C,P
10.1371/journal.pone.0031662,C,P
10.3141/2305-12,C,P
10.3390/resources4020203,C,P
10.4236/acs.2012.21005,C,P
10.4296/cwrj2011-923,C,P
http://arxiv.org/abs/1502.03042,C,G
http://hdl.handle.net/10012/6087,C,G
http://hdl.handle.net/1957/24176,C,G
http://hdl.handle.net/1993/14916,C,G
http://hdl.handle.net/2286/R.A.125911,C,G
http://lib.dr.iastate.edu/etd/10178,C,G
http://lib.dr.iastate.edu/etd/13635,C,G
http://lib.dr.iastate.edu/etd/13882,C,G
http://scholar.colorado.edu/cgi/viewcontent.cgi?article=2036&context=csci_techreports#page=61,C,G
http://sti.srs.gov/fulltext/SRNL-STI-2013-00265.pdf,C,G
http://www.ouranos.ca/fr/infolettre/documents/RapaicFr_000.pdf,C,G
http://www.prbo.org/refs/files/12259_Veloz2013.pdf,C,G
http://www.srs.fs.usda.gov/pubs/46207,C,G
https://ams.confex.com/ams/92Annual/webprogram/Manuscript/Paper200280/200280_DJBrouillette_extendedAbstract.pdf,C,G
